,Unnamed: 0,gvkey,deal year,Target name,pdpassgn,patents
0,0,2598,1999,Cade Industries Inc,,
1,1,2846,1999,Centocor Inc,11106252.0,"[4898826, 5006252, 5032574]"
2,2,3172,1999,Collagen Aesthetics Inc,10449026.0,"[4140537, 4233360, 4250139, 4288498, 4349026, 4406853, 4424208, 4430760, 4434094, 4440750, 4465478, 4481001, 4501306, 4557764, 4563350, 4582640, 4600533, 4627982, 4642117, 4655980, 4671794, 4689399, 4699186, 4725671, 4743229, 4760131, 4774227, 4774228, 4774322, 4776890, 4789663, 4795467, 4803075, 4806523, 4810691, 4816442, 4843063, 4863732, 4865602, 4888366, 4950483, 4959205, 4971952, 4992226, 5001169, 5008240, 5024841, 5035715, 5071351, 5108436, 5110604, 5123925, 5162430, 5204382, 5207710, 5219576, 5246457, 5258029, 5264214, 5292802, 5304595, 5306500, 5308889, 5324775, 5328955, 5352715, 5366498, 5376375, 5383930, 5413791, 5425770, 5428022, 5428024, 5446091, 5470911, 5475052, 5476666, 5510418, 5523348, 5527856, 5540657, 5543441, 5550187, 5550188, 5565519, 5580923, 5614587, 5616689, 5643464, 5667839, 5693341, 5744545, 5752974, 5800541, 5807581, 5823671]"
3,3,3736,1999,Daniel Industries Inc,10234288.0,"[4091840, 4134288, 4234157, 6164622]"
4,4,3736,1999,Daniel Industries Inc,11309258.0,"[5209258, 5260883]"
5,5,3736,1999,Daniel Industries Inc,10770733.0,"[4670733, 4732043, 4929890]"
6,6,3736,1999,Daniel Industries Inc,10686534.0,"[3943846, 3948099, 3994624, 4191216, 4286625, 4320777, 4331315, 4340088, 4364544, 4385746, 4390171, 4394023, 4410038, 4436280, 4444224, 4470319, 4478251, 4480686, 4512359, 4586534, 4606218, 4665946, 4715234, 5005805, 5069252, 5085250, 5163655, 5181542, 5318073, 5323651, 5324232, 5325729, 5326323, 5509305, 5524863, 5546990, 5594288, 5741960, 5967166, 5983730, 6151958, 6209388, 6227034, 6335959, 6363966, 6374860, 6386018, 6533065, 6536471, 6550345, 6575015, 6601606, 6651514, 6674690, 6761078, 6769293, 6776025, 6816808, 6837113, 6871666, 6894659, 6945125, 6950768, 7013240, 7063107, 7104521, 7119572, 7131461]"
7,7,3760,1999,Data General Corp,10179826.0,"[3934227, 3944801, 4079826]"
8,8,3760,1999,Data General Corp,10456531.0,"[3931613, 3948463, 3949368, 3949369, 3952968, 3973987, 3978318, 3979577, 3990052, 4005405, 4014006, 4016551, 4023047, 4040032, 4042972, 4043632, 4047201, 4047246, 4048623, 4048673, 4056642, 4056831, 4056845, 4057460, 4059224, 4061900, 4069462, 4071890, 4075692, 4079454, 4085427, 4089052, 4097729, 4099266, 4104720, 4112501, 4117470, 4128866, 4131805, 4133028, 4141050, 4155105, 4163996, 4164766, 4164769, 4166962, 4171765, 4185309, 4185310, 4191976, 4194226, 4200894, 4205372, 4208722, 4218753, 4228501, 4229699, 4229801, 4234899, 4243865, 4251095, 4296466, 4306242, 4315323, 4316244, 4316248, 4318759, 4320981, 4323964, 4327408, 4330823, 4334348, 4342080, 4356531, 4356545, 4360868, 4371925, 4375077, 4376898, 4377810, 4380812, 4386399, 4387409, 4387425, 4394736, 4395663, 4398243, 4399505, 4401288, 4403282, 4404530, 4405992, 4409655, 4410269, 4425625, 4428045, 4429336, 4429370, 4434459, 4435703, 4435764, 4438380, 4445173, 4445177, 4446457, 4447877, 4447879, 4450522, 4450523, 4454579, 4455602, 4455603, 4455604, 4456956, 4459581, 4460970, 4462073, 4464716, 4464772, 4466057, 4468748, 4471235, 4471244, 4471430, 4471431, 4472774, 4473881, 4476523, 4476527, 4476537, 4477867, 4480306, 4481571, 4484263, 4493023, 4493024, 4493025, 4493027, 4493033, 4498131, 4498132, 4499535, 4499604, 4503492, 4513368, 4513372, 4514800, 4516203, 4517642, 4519030, 4525780, 4532435, 4532586, 4532590, 4545012, 4554626, 4554627, 4559618, 4567640, 4569018, 4575797, 4591972, 4591975, 4593375, 4597041, 4600990, 4604684, 4612613, 4612628, 4612634, 4616260, 4617642, 4618925, 4622630, 4625294, 4627046, 4630269, 4633406, 4636748, 4636976, 4644535, 4644545, 4649470, 4652995, 4652996, 4654783, 4656579, 4660142, 4661903, 4670839, 4675769, 4675810, 4679138, 4680788, 4684934, 4685057, 4685124, 4691295, 4695747, 4701865, 4709329, 4713329, 4718034, 4731734, 4733366, 4740998, 4742449, 4742478, 4757443, 4764687, 4771377, 4772812, 4773004, 4779273, 4792948, 4796176, 4806870, 4821184, 4825403, 4829427, 4852089, 4858180, 4873652, 4878173, 4884244, 4901232, 4901235, 4908749, 4910754, 4920483, 4939640, 4939644, 4965787, 4965798, 4975695, 4975870, 4979141, 4979169, 4987530, 4987570, 5016162, 5020081, 5027344, 5051982, 5051984, 5070475, 5095404, 5146584, 5155818, 5172379, 5235685, 5247427, 5287537, 5301280, 5305326, 5343357, 5371743, 5377191, 5377328, 5377332, 5388232, 5396111, 5450592, 5452444, 5481681, 5490723, 5535381, 5617558, 5666486, 5684973, 5686814, 5687089, 5698973, 5713004, 5745778, 5787468, 5806086, 5809256, 5845094, 5859966, 5860098, 5860139, 5861737, 5878248, 5887146, 5889934, 5890214, 5901151, 5911150, 5922077, 5937159, 5956754, 6014009, 6021044, 6026461, 6034516, 6122756, 6324692]"
9,9,3760,1999,Data General Corp,11011287.0,[4911287]
10,10,5063,1999,General Instrument Corp,10572595.0,"[4104481, 4107354, 4472595, 4484023, 4515992, 4691081, 4701575, 4894488, 5042904, 5254188, 5293678, 5345526, 5448670, 5462803, 5469523, 5511305, 5542020, 5560536, 5614319, 5651081, 5692690, 5719353, 5777271, 5814768, 5926949, 5949018, 5959245, 5969295, 6037545, 6064008, 6137058, 6139957, 6146208, 6201189, 6217380, 6417454]"
