,gvkey,deal year,Target name,pdpassgn_525
0,2598,1999,Cade Industries Inc,
1,2846,1999,Centocor Inc,[11106252]
2,3172,1999,Collagen Aesthetics Inc,[10449026]
3,3736,1999,Daniel Industries Inc,"[10234288, 11309258, 10770733, 10686534]"
4,3760,1999,Data General Corp,"[10179826, 10456531, 11011287]"
5,5063,1999,General Instrument Corp,"[10572595, 10430930, 10465331, 10621891]"
6,5693,1999,Honeywell Inc,
7,5846,1999,Andataco Inc,
8,6638,1999,Carleton Corp,
9,6876,1999,M/A/R/C Group,[12129174]
10,7049,1999,Market Facts Inc,
11,7640,1999,Mylex Corp,[11975457]
12,8163,1999,Optical Coating Laboratory Inc,[10081562]
13,8960,1999,Raychem Corp,[10837600]
14,9120,1999,RIBI ImmunoChem Research Inc,[10763306]
15,10010,1999,Stanford Telecommunications Inc,"[11244642, 11915046]"
16,10163,1999,Sundstrand Corp,"[11067936, 10598849, 11128220, 10189623]"
17,11040,1999,Pharmacia & Upjohn Inc,
18,11058,1999,V Band Corp,[11189937]
19,11288,1999,Warner-Lambert Co,[11814518]
20,11803,1999,DSP Technology Inc,
21,12537,1999,Market Guide Inc,
22,13096,1999,Nichols Research Corp,[11990095]
23,13308,1999,Agouron Pharmaceuticals Inc,[11814518]
24,13315,1999,Sequent Computer Systems Inc,[11933337]
25,14160,1999,EMCON,[11584279]
26,16419,1999,Brite Voice Systems Inc,[12313956]
27,17764,1999,US Bioscience Inc,[11057481]
28,20192,1999,Roberts Pharmaceutical Corp,
29,20903,1999,PulsePoint Communications,[13061410]
30,20907,1999,North American Vaccine Inc,[11847287]
31,20969,1999,Texas Micro Inc,[11837514]
32,20982,1999,Integrated Systems Inc,[10896179]
33,22170,1999,Mosaix Inc,[12152685]
34,23076,1999,Digital Origin Inc,
35,23897,1999,PLATINUM Technology Inc,
36,24093,1999,OpenROUTE Networks Inc,
37,24140,1999,Telident Inc,[10891663]
38,24338,1999,ThermoTrex Corp,[11523803]
39,24345,1999,Powerhouse Technologies Inc,[11651356]
40,24680,1999,Physician Computer Network Inc,
41,24997,1999,Dames & Moore Group,[10249407]
42,25271,1999,Ardent Software Inc,
43,27940,1999,Wall Data Inc,[12563459]
44,28125,1999,NFO Worldwide Inc,
45,29092,1999,Holophane,"[11378745, 11504094]"
46,29350,1999,CMC Industries Inc,
47,29414,1999,Stimsonite Corp,[11178538]
48,29650,1999,NeXstar Pharmaceuticals Inc,[11511947]
49,29879,1999,Metrowerks Corp,[12758651]
50,30034,1999,Dialogic Corp,"[10749384, 12563462, 11510542]"
51,30203,1999,Ascend Communications Inc,[12091297]
52,30368,1999,Sparta Pharmaceuticals Inc,
53,30742,1999,SUGEN Inc,[11810173]
