,assgn_final,gvkey_final
0,-19702,66448.0
1,-19541,121844.0
2,-19540,121844.0
3,-19291,62613.0
4,-19289,176118.0
5,-18938,11351.0
6,-18799,13470.0
7,-18511,11212.0
8,-18385,29284.0
9,-18223,163121.0
10,-18172,10971.0
11,-18143,11027.0
12,-17448,13945.0
13,-17088,4156.0
14,-16706,15521.0
15,-16700,25923.0
16,-16688,10000.0
17,-16348,3708.0
18,-16179,174876.0
19,-16161,30964.0
20,-15631,111491.0
21,-14668,15854.0
22,-13980,9921.0
23,-13956,8674.0
24,-13921,164624.0
25,-13540,128219.0
26,-13515,3979.0
27,-13484,22681.0
28,-13381,13163.0
29,-12839,28442.0
30,-12485,28262.0
31,-12040,152809.0
32,-11534,7161.0
33,-10342,6666.0
34,-9695,23667.0
35,-8619,27980.0
36,-8388,9590.0
37,-8259,28262.0
38,-6889,10247.0
39,-6880,61658.0
40,-6861,12660.0
41,-5767,6573.0
42,-5054,4345.0
43,-4772,21552.0
44,-4569,10247.0
45,-4428,177376.0
46,-4421,16545.0
47,-4349,27980.0
48,-4033,24966.0
49,-2376,161055.0
50,-2285,28936.0
51,-887,1812.0
52,-758,12609.0
53,-724,17452.0
54,-561,25932.0
55,-435,100011.0
56,-434,100011.0
57,-242,29424.0
58,10030414,8326.0
59,10030467,8006.0
60,10030734,1847.0
61,10030761,100587.0
62,10030808,9268.0
63,10030845,15508.0
64,10030933,9140.0
65,10031263,3041.0
66,10031264,24625.0
67,10031414,8677.0
68,10031478,4961.0
69,10031601,1040.0
70,10031615,6008.0
71,10031679,3864.0
72,10031689,4088.0
73,10031721,11060.0
74,10031768,4941.0
75,10031878,31881.0
76,10032010,7003.0
77,10032111,4510.0
78,10032118,2892.0
79,10032126,3558.0
80,10032152,8015.0
81,10032276,10049.0
82,10032404,103159.0
83,10032427,14261.0
84,10032442,6840.0
85,10032645,100080.0
86,10032704,10420.0
87,10032754,5957.0
88,10032761,4961.0
89,10032783,4961.0
90,10032854,5894.0
91,10032867,3532.0
92,10032884,7652.0
93,10032974,5581.0
94,10033020,10298.0
95,10033129,6302.0
96,10033269,8530.0
97,10033343,10966.0
98,10033396,11749.0
99,10033489,8723.0
100,10033560,3868.0
101,10033592,5536.0
102,10033628,2243.0
103,10033631,11691.0
104,10033664,2721.0
105,10033740,5696.0
106,10033779,4661.0
107,10033788,7257.0
108,10034098,9068.0
109,10034100,12652.0
110,10034190,162354.0
111,10034238,1366.0
112,10034253,19349.0
113,10034264,2902.0
114,10034295,12906.0
115,10034385,3502.0
116,10034430,15172.0
117,10034491,11125.0
118,10034505,2178.0
119,10034518,8820.0
120,10034557,4864.0
121,10034679,3659.0
122,10034683,6026.0
123,10034705,13302.0
124,10034817,65089.0
125,10034923,176362.0
126,10035016,4925.0
127,10035194,8137.0
128,10035411,1218.0
129,10035414,10150.0
130,10035426,9163.0
131,10035433,9465.0
132,10035456,4419.0
133,10035458,8247.0
134,10035689,3479.0
135,10035699,10622.0
136,10035749,11061.0
137,10035936,11163.0
138,10036028,3580.0
139,10036081,10212.0
140,10036221,5860.0
141,10036238,1945.0
142,10036456,213449.0
143,10036645,8530.0
144,10036736,6774.0
145,10036797,6028.0
146,10036814,2179.0
147,10036824,6510.0
148,10036976,7986.0
149,10037027,5439.0
150,10037062,10156.0
151,10037177,11636.0
152,10037207,11537.0
153,10037249,11089.0
154,10037442,3965.0
155,10037499,11324.0
156,10037574,6326.0
157,10037645,9989.0
158,10037686,4087.0
159,10038055,4839.0
160,10038279,12383.0
161,10038322,8643.0
162,10038351,162254.0
163,10038366,4094.0
164,10038507,112033.0
165,10038640,1496.0
166,10038650,4881.0
167,10038658,10628.0
168,10038692,17225.0
169,10038784,4286.0
170,10038862,11749.0
171,10038863,11749.0
172,10039064,10952.0
173,10039097,5650.0
174,10039103,125863.0
175,10039221,2410.0
176,10039381,18826.0
177,10039715,9931.0
178,10039821,1341.0
179,10039832,7187.0
180,10039833,30938.0
181,10039950,6494.0
182,10039958,4510.0
183,10040377,8669.0
184,10040513,1637.0
185,10040564,29685.0
186,10040675,10519.0
187,10040685,10622.0
188,10040697,5795.0
189,10040898,133104.0
190,10041024,10542.0
191,10041042,4579.0
192,10041681,7471.0
193,10041806,1478.0
194,10041874,1628.0
195,10041902,12368.0
196,10042069,7652.0
197,10042619,9503.0
198,10042655,5492.0
199,10042699,10902.0
200,10042724,9334.0
201,10042772,8068.0
202,10042866,125863.0
203,10043023,3244.0
204,10043119,7471.0
205,10043138,5894.0
206,10043254,14261.0
207,10043385,5860.0
208,10043410,5439.0
209,10043412,3492.0
210,10043426,19349.0
211,10043642,9444.0
212,10044016,19113.0
213,10044170,11222.0
214,10044174,4608.0
215,10044213,2135.0
216,10044266,110728.0
217,10044592,8972.0
218,10044597,14456.0
219,10044637,1943.0
220,10044652,213449.0
221,10044791,9480.0
222,10045107,8357.0
223,10045250,10037.0
224,10045299,14084.0
225,10045316,7875.0
226,10045362,5073.0
227,10045386,4034.0
228,10045528,7082.0
229,10045633,5492.0
230,10045727,7114.0
231,10045844,10983.0
232,10046004,2403.0
233,10046009,7257.0
234,10046133,13467.0
235,10046159,23088.0
236,10046163,61580.0
237,10046190,12154.0
238,10046295,12944.0
239,10046412,66049.0
240,10046473,10519.0
241,10046491,9459.0
242,10046532,30260.0
243,10046626,9113.0
244,10046682,9746.0
245,10046687,10443.0
246,10046726,10787.0
247,10046883,4930.0
248,10046945,2403.0
249,10046949,1308.0
250,10046977,7980.0
251,10047075,6571.0
252,10047166,16603.0
253,10047312,5018.0
254,10047406,14456.0
255,10047561,9369.0
256,10047566,10857.0
257,10047571,6592.0
258,10047597,7039.0
259,10047769,5658.0
260,10048107,10265.0
261,10048109,60913.0
262,10048155,1305.0
263,10048300,5959.0
264,10048459,8697.0
265,10048594,4004.0
266,10048653,8530.0
267,10048949,7257.0
268,10049139,1912.0
269,10049286,3735.0
270,10049363,8989.0
271,10049466,6761.0
272,10049612,20051.0
273,10049671,7985.0
274,10049719,6345.0
275,10049760,13990.0
276,10049781,1357.0
277,10049838,5772.0
278,10049954,20578.0
279,10050042,1420.0
280,10050407,7435.0
281,10050485,10626.0
282,10050574,1081.0
283,10050752,4420.0
284,10050763,2617.0
285,10050831,17436.0
286,10050954,8968.0
287,10051008,10777.0
288,10051012,5734.0
289,10051147,8358.0
290,10051310,11059.0
291,10051444,4305.0
292,10051527,14385.0
293,10051849,2075.0
294,10051908,17436.0
295,10052110,13302.0
296,10052280,4158.0
297,10052429,11226.0
298,10052466,6430.0
299,10052495,16475.0
300,10052567,5650.0
301,10052739,1215.0
302,10052820,11749.0
303,10052899,2584.0
304,10053084,3734.0
305,10053164,31479.0
306,10053462,11636.0
307,10053664,7114.0
308,10053671,19613.0
309,10053679,8558.0
310,10053725,14934.0
311,10053799,2473.0
312,10053833,10381.0
313,10053889,8499.0
314,10053918,3041.0
315,10054022,10407.0
316,10054605,4864.0
317,10054647,107220.0
318,10054819,100135.0
319,10055051,8633.0
320,10055067,3424.0
321,10055091,1089.0
322,10055101,4540.0
323,10055147,7946.0
324,10055189,6628.0
325,10055225,10227.0
326,10055262,103159.0
327,10055274,5650.0
328,10055431,14900.0
329,10055558,7197.0
330,10055571,9459.0
331,10055787,1297.0
332,10055909,145873.0
333,10055910,6268.0
334,10055932,1965.0
335,10055956,7371.0
336,10056007,6409.0
337,10056189,5018.0
338,10056273,7030.0
339,10056305,3249.0
340,10056418,1609.0
341,10056541,12159.0
342,10056612,6182.0
343,10056931,10873.0
344,10057019,4864.0
345,10057058,9947.0
346,10057079,10085.0
347,10057179,8124.0
348,10057285,12312.0
349,10057286,9507.0
350,10057287,7012.0
351,10057326,9361.0
352,10057527,3224.0
353,10057691,10275.0
354,10057733,5071.0
355,10057755,13467.0
356,10057969,19344.0
357,10058262,6266.0
358,10058298,9613.0
359,10058318,8683.0
360,10058444,10156.0
361,10058496,11217.0
362,10058504,10443.0
363,10058693,4162.0
364,10058827,163980.0
365,10058898,11309.0
366,10059124,4321.0
367,10059133,15158.0
368,10059513,6502.0
369,10059540,2751.0
370,10059719,5047.0
371,10059849,7402.0
372,10060047,64172.0
373,10060190,4199.0
374,10060275,5976.0
375,10060352,2082.0
376,10060657,6000.0
377,10060781,4213.0
378,10061160,5907.0
379,10061446,5878.0
380,10061505,6430.0
381,10061758,8822.0
382,10061853,3835.0
383,10062230,14261.0
384,10062412,10787.0
385,10062441,11096.0
386,10062559,7045.0
387,10062613,4321.0
388,10062729,11060.0
389,10062803,12457.0
390,10063130,10246.0
391,10063172,6421.0
392,10063179,13148.0
393,10063322,5856.0
394,10063440,12154.0
395,10063463,1793.0
396,10063682,5894.0
397,10063896,11262.0
398,10063919,11336.0
399,10064206,1870.0
400,10064397,25493.0
401,10064430,10514.0
402,10064467,2221.0
403,10064925,2176.0
404,10064937,1209.0
405,10064988,8189.0
406,10065248,14363.0
407,10065256,10241.0
408,10065454,3748.0
409,10065910,10530.0
410,10065936,4327.0
411,10066221,100049.0
412,10066292,147449.0
413,10066345,6486.0
414,10066700,102045.0
415,10066741,8071.0
416,10066749,7257.0
417,10066760,10538.0
418,10066878,5084.0
419,10066880,11462.0
420,10066911,18811.0
421,10066924,66616.0
422,10066973,5071.0
423,10066980,1825.0
424,10067050,19043.0
425,10067111,3793.0
426,10067194,11152.0
427,10067336,22263.0
428,10067352,10617.0
429,10067363,7534.0
430,10067385,7777.0
431,10067487,7166.0
432,10067525,11346.0
433,10067548,7143.0
434,10067779,1159.0
435,10067821,1752.0
436,10067946,4327.0
437,10068189,5229.0
438,10068272,6856.0
439,10068310,100135.0
440,10068611,5229.0
441,10068671,8451.0
442,10068691,1976.0
443,10068785,10339.0
444,10068958,4217.0
445,10069003,3735.0
446,10069093,6104.0
447,10069607,8196.0
448,10069786,30098.0
449,10069838,14461.0
450,10069928,11749.0
451,10069955,1356.0
452,10070107,4316.0
453,10070481,14265.0
454,10070796,19349.0
455,10070939,9797.0
456,10071149,4138.0
457,10071389,9071.0
458,10071455,9218.0
459,10071474,6104.0
460,10071480,6848.0
461,10071504,9456.0
462,10071638,2991.0
463,10071759,7318.0
464,10071859,3362.0
465,10072031,11699.0
466,10072176,7776.0
467,10072275,19349.0
468,10072444,8607.0
469,10072485,6905.0
470,10072622,7842.0
471,10072683,5800.0
472,10072712,2448.0
473,10072787,9217.0
474,10072801,8068.0
475,10073172,4186.0
476,10073256,3296.0
477,10073441,10671.0
478,10073511,3479.0
479,10073566,10243.0
480,10073634,17420.0
481,10073734,9384.0
482,10073839,9548.0
483,10073941,16603.0
484,10074320,15334.0
485,10074352,12446.0
486,10074685,8717.0
487,10074690,10085.0
488,10074694,7974.0
489,10074698,6837.0
490,10074703,114777.0
491,10074795,4535.0
492,10074845,5164.0
493,10074855,20747.0
494,10075071,10204.0
495,10075209,7784.0
496,10075221,1512.0
497,10075453,4835.0
498,10075552,7720.0
499,10075768,5119.0
500,10075960,10373.0
501,10076073,2086.0
502,10076085,13963.0
503,10076161,15257.0
504,10076187,3460.0
505,10076527,6104.0
506,10076548,5959.0
507,10076795,202421.0
508,10077039,3095.0
509,10077270,10052.0
510,10077314,18466.0
511,10077390,5071.0
512,10077400,3883.0
513,10077491,5749.0
514,10077518,6104.0
515,10077527,1408.0
516,10077593,4994.0
517,10077913,64789.0
518,10078246,3746.0
519,10078597,6081.0
520,10078629,20364.0
521,10078631,7636.0
522,10078690,3735.0
523,10078756,5615.0
524,10078808,2787.0
525,10079055,9771.0
526,10079163,1067.0
527,10079302,5364.0
528,10079344,5972.0
529,10079489,5464.0
530,10079507,5974.0
531,10079559,7394.0
532,10079707,1866.0
533,10079791,1243.0
534,10079818,9643.0
535,10080008,1613.0
536,10080084,5807.0
537,10080189,30807.0
538,10080213,10555.0
539,10080334,11613.0
540,10080335,2475.0
541,10080339,12708.0
542,10080706,5708.0
543,10081186,9810.0
544,10081489,9793.0
545,10081562,29241.0
546,10081598,12554.0
